id,name,english,source,rarity,is_relic
0,无,None,mh4g-save-format,0,0
1,勇气手套,Derring Gloves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,勇气腕甲Ｓ,Derring Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,勇气护手Ｓ,Derring Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,皮制手套,Leather Gloves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,皮质腕甲Ｓ,Leather Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,皮质护手Ｓ,Leather Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,锁链手套,Chainmail Gloves,mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,锁链腕甲Ｓ,Chainmail Braces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,锁链护手Ｓ,Chainmail Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,猎人腕甲,Hunter's Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,猎人护手,Hunter's Guards,mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,猎人腕甲Ｓ,Hunter's Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,猎人护手Ｓ,Hunter's Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,猎人腕甲,Hunter's Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,猎人护手,Hunter's Guards,mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,骨制腕甲,Bone Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,骨制护手,Bone Guards,mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,骨制腕甲Ｓ,Bone Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,骨制护手Ｓ,Bone Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,合金腕甲,Alloy Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,合金护手,Alloy Guards,mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,合金腕甲Ｓ,Alloy Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,合金护手Ｓ,Alloy Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,合金腕甲,Alloy Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,合金护手,Alloy Guards,mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,狗龙腕甲,Jaggi Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,狗龙护手,Jaggi Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,狗龙腕甲Ｓ,Jaggi Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,狗龙护手Ｓ,Jaggi Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,水兽腕甲,Ludroth Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
31,水兽护手,Ludroth Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,水兽腕甲,Ludroth Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,水兽护手,Ludroth Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,草食龙腕甲,Rhenoplos Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,草食龙护手,Rhenoplos Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,草食龙腕甲Ｓ,Rhenoplos Braces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
37,草食龙护手Ｓ,Rhenoplos Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,飞甲虫手套,Bnahabra Gloves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
39,飞甲虫长袖,Bnahabra Sleeves,mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,飞甲虫手套Ｓ,Bnahabra Gloves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
41,飞甲虫长袖Ｓ,Bnahabra Sleeves S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,土砂龙腕甲,Barroth Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
43,土砂龙护手,Barroth Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,雌火龙腕甲,Rathian Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,雌火龙护手,Rathian Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,雌火龙腕甲Ｓ,Rathian Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
47,雌火龙护手Ｓ,Rathian Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,樱火龙腕甲,Rath Heart Braces,mh4g-dex-build7+mh4edit-mit-save-id,6,0
49,樱火龙护手,Rath Heart Guards,mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,金火龙腕甲,Golden Lunebraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
51,金火龙护手,Golden Luneguards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,雌火龙腕甲,Rathian Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
53,雌火龙护手,Rathian Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,樱火龙腕甲,Rath Heart Braces,mh4g-dex-build7+mh4edit-mit-save-id,6,0
55,樱火龙护手,Rath Heart Guards,mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,EX雌火龙腕甲,EX Rathian Braces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
57,EX雌火龙护手,EX Rathian Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,雄火龙腕甲,Rathalos Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
59,雄火龙护手,Rathalos Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,雄火龙腕甲Ｓ,Rathalos Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
61,雄火龙护手Ｓ,Rathalos Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,苍火龙腕甲,Rath Soul Braces,mh4g-dex-build7+mh4edit-mit-save-id,6,0
63,苍火龙护手,Rath Soul Guards,mh4g-dex-build7+mh4edit-mit-save-id,6,0
64,银火龙腕甲,Silver Solbraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
65,银火龙护手,Silver Solguards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
66,雄火龙腕甲,Rathalos Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
67,雄火龙护手,Rathalos Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
68,苍火龙腕甲,Rath Soul Braces,mh4g-dex-build7+mh4edit-mit-save-id,6,0
69,苍火龙护手,Rath Soul Guards,mh4g-dex-build7+mh4edit-mit-save-id,6,0
70,银火龙腕甲,Silver Solbraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
71,银火龙护手,Silver Solguards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
72,EX雄火龙腕甲,EX Rathalos Braces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
73,EX雄火龙护手,EX Rathalos Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
74,角龙腕甲,Diablos Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
75,角龙护手,Diablos Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
76,爆锤龙腕甲,Uragaan Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
77,爆锤龙护手,Uragaan Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
78,恐暴龙腕甲,Vangis Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,6,0
79,恐暴龙护手,Vangis Guards,mh4g-dex-build7+mh4edit-mit-save-id,6,0
80,贪婪腕甲,Esurient Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
81,贪婪护手,Esurient Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
82,贪婪腕甲,Esurient Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
83,贪婪护手,Esurient Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
84,残阳【笼手】,Gloaming Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
85,常磐【笼手】,Adamance Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
86,东云【笼手】,Dayspring Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
87,八千代【笼手】,Epoch Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
88,残阳・霸【笼手】,Gloaming Archbraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
89,常磐・霸【笼手】,Adamance Archbraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
90,东云・霸【笼手】,Dayspring Archbraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
91,八千代・霸【笼手】,Epoch Archbraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
92,残阳【笼手】,Gloaming Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
93,常磐【笼手】,Adamance Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
94,东云【笼手】,Dayspring Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
95,八千代【笼手】,Epoch Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
96,水龙腕甲,Plesioth Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,4,0
97,水龙护手,Plesioth Guards,mh4g-dex-build7+mh4edit-mit-save-id,4,0
98,潜口龙腕甲,Nibelsnarf Braces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
99,潜口龙护手,Nibelsnarf Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
100,尾槌龙腕甲,Duramboros Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
101,尾槌龙护手,Duramboros Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
102,青熊兽腕甲,Arzuros Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
103,青熊兽护手,Arzuros Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
104,白兔兽腕甲,Lagombi Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
105,白兔兽护手,Lagombi Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
106,白兔兽腕甲Ｓ,Lagombi Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
107,白兔兽护手Ｓ,Lagombi Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
108,迅龙腕甲,Nargacuga Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
109,迅龙护手,Nargacuga Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
110,轰龙腕甲,Tigrex Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
111,轰龙护手,Tigrex Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
112,轰龙腕甲Ｓ,Tigrex Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
113,轰龙护手Ｓ,Tigrex Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
114,黑轰龙腕甲Ｕ,Tigrex Vambraces U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
115,黑轰龙护手Ｕ,Tigrex Guards U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
116,大轰龙腕甲,Excello Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
117,大轰龙护手,Excello Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
118,EX轰龙腕甲,EX Tigrex Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
119,EX轰龙护手,EX Tigrex Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
120,轰龙腕甲,Tigrex Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
121,轰龙护手,Tigrex Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
122,黑轰龙腕甲Ｕ,Tigrex Vambraces U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
123,黑轰龙护手Ｕ,Tigrex Guards U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
124,碎龙腕甲,Brachydios Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
125,碎龙护手,Brachydios Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
126,碎龙腕甲Ｓ,Brachydios Braces S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
127,碎龙护手Ｓ,Brachydios Guards S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
128,霸龙护腕,Akantor Claws,mh4g-dex-build7+mh4edit-mit-save-id,7,0
129,霸龙弓腕,Akantor Gauntlets,mh4g-dex-build7+mh4edit-mit-save-id,7,0
130,霸龙护腕,Akantor Claws,mh4g-dex-build7+mh4edit-mit-save-id,7,0
131,霸龙弓腕,Akantor Gauntlets,mh4g-dex-build7+mh4edit-mit-save-id,7,0
132,雷狼龙腕甲,Zinogre Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
133,雷狼龙护手,Zinogre Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
134,雷狼龙腕甲Ｓ,Zinogre Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
135,雷狼龙护手Ｓ,Zinogre Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
136,狱狼龙腕甲Ｕ,Zinogre Vambraces U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
137,狱狼龙护手Ｕ,Zinogre Guards U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
138,狱狼龙腕甲Ｕ,Zinogre Vambraces U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
139,狱狼龙护手Ｕ,Zinogre Guards U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
140,EX炎王龙腕甲,EX Kaiser Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,7,0
141,EX炎王龙护手,EX Kaiser Guards,mh4g-dex-build7+mh4edit-mit-save-id,7,0
142,奇猿狐腕甲,Kecha Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
143,奇猿狐护手,Kecha Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
144,奇猿狐腕甲Ｓ,Kecha Braces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
145,奇猿狐护手Ｓ,Kecha Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
146,黑蚀龙腕甲,Gore Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
147,黑蚀龙护手,Gore Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
148,黑蚀龙腕甲Ｓ,Gore Braces S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
149,黑蚀龙护手Ｓ,Gore Guards S,mh4g-dex-build7+mh4edit-mit-save-id,6,0
150,黑蚀龙腕甲,Gore Braces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
151,黑蚀龙护手,Gore Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
152,鬼蛙腕甲,Tetsucabra Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
153,鬼蛙护手,Tetsucabra Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
154,鬼蛙腕甲Ｓ,Tetsucabra Braces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
155,鬼蛙护手Ｓ,Tetsucabra Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
156,影蜘蛛腕甲,Nerscylla Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
157,影蜘蛛护手,Nerscylla Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
158,影蜘蛛腕甲Ｓ,Nerscylla Braces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
159,影蜘蛛护手Ｓ,Nerscylla Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
160,绞蛇龙腕甲,Najarala Braces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
161,绞蛇龙护手,Najarala Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
162,绞蛇龙腕甲Ｓ,Najarala Braces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
163,绞蛇龙护手Ｓ,Najarala Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
164,黑狼鸟腕甲,Garuga Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,3,0
165,黑狼鸟护手,Garuga Guards,mh4g-dex-build7+mh4edit-mit-save-id,3,0
166,黑狼鸟腕甲Ｓ,Garuga Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
167,黑狼鸟护手Ｓ,Garuga Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
168,岩龙腕甲,Basarios Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
169,岩龙护手,Basarios Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
170,岩龙腕甲Ｓ,Basarios Vambraces S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
171,岩龙护手Ｓ,Basarios Guards S,mh4g-dex-build7+mh4edit-mit-save-id,5,0
172,桃岩龙腕甲Ｕ,Basarios Vambraces U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
173,桃岩龙护手Ｕ,Basarios Guards U,mh4g-dex-build7+mh4edit-mit-save-id,6,0
174,战斗腕甲,Battle Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
175,战斗护手,Battle Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
176,蓝速龙腕甲,Velociprey Braces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
177,蓝速龙护手,Velociprey Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
178,蓝速龙腕甲Ｓ,Velociprey Braces S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
179,蓝速龙护手Ｓ,Velociprey Guards S,mh4g-dex-build7+mh4edit-mit-save-id,4,0
180,黄速龙腕甲,Genprey Vambraces,mh4g-dex-build7+mh4edit-mit-save-id,2,0
181,黄速龙护手,Genprey Guards,mh4g-dex-build7+mh4edit-mit-save-id,2,0
