id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,铁刀,Iron Katana,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,铁刀【禊】,Iron Grace,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
3,铁刀【神乐】,Iron Gospel,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
4,斩破刀,Eager Cleaver,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
5,鬼斩破,Devil Slicer,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
6,鬼哭斩破刀,Wailing Ghost,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,鬼哭斩破刀・真打,Grand Wailing Ghost,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
8,金属of真相,Stahlfakt,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
9,金属of法律,Stahlrecht,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,金属of审判,Stahlurteil,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
11,THE正义,La Justicière,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
12,冰刃,Ice Blade,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
13,冰刃改,Ice Blade+,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
14,冰刃【雪花】,Edel's Snowflake,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
15,冰刃【雪月花】,Edel's Ice,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
16,锯斩匕首,Aikuchi,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
17,锯斩匕首【无铭】,Unbranded Aikuchi,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
18,锯斩匕首【直参】,Lieutenant's Aikuchi,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
19,鬼蛤蟆怀刀,Toad Abetter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,鬼蛤蟆怀刀【大业】,Accomplished Abetter,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
21,守护者之剑,Guardian Sword,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
