id,name,english,source,rarity,is_relic
0,无装备,None,mh4g-core-common-game-array,0,0
1,勇气背心,Derring Jacket,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
2,勇气铠甲Ｓ,Derring Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
3,勇气炼甲Ｓ,Derring Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
4,轻皮背心,Leather Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
5,轻皮铠甲Ｓ,Leather Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
6,轻皮炼甲Ｓ,Leather Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
7,锁链背心,Chainmail Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
8,锁链铠甲Ｓ,Chainmail Armor S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
9,锁链炼甲Ｓ,Chainmail Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
10,猎人铠甲,Hunter's Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
11,猎人炼甲,Hunter's Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
12,猎人铠甲Ｓ,Hunter's Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
13,猎人炼甲Ｓ,Hunter's Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
14,猎人铠甲,Hunter's Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
15,猎人炼甲,Hunter's Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
16,骨制铠甲,Bone Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
17,骨制炼甲,Bone Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
18,骨制铠甲Ｓ,Bone Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
19,骨制炼甲Ｓ,Bone Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
20,合金铠甲,Alloy Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
21,合金炼甲,Alloy Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
22,合金铠甲Ｓ,Alloy Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
23,合金炼甲Ｓ,Alloy Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
24,合金铠甲,Alloy Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
25,合金炼甲,Alloy Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
26,狗龙铠甲,Jaggi Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
27,狗龙炼甲,Jaggi Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
28,狗龙铠甲Ｓ,Jaggi Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
29,狗龙炼甲Ｓ,Jaggi Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
30,洛克拉克上衣,Loc Lac Shawl,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,1,0
31,水兽铠甲,Ludroth Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
32,水兽炼甲,Ludroth Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
33,水兽铠甲,Ludroth Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
34,水兽炼甲,Ludroth Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
35,草食龙铠甲,Rhenoplos Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
36,草食龙炼甲,Rhenoplos Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
37,草食龙铠甲Ｓ,Rhenoplos Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
38,草食龙炼甲Ｓ,Rhenoplos Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
39,飞虫上衣,Bnahabra Suit,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
40,飞虫背心,Bnahabra Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
41,飞虫上衣Ｓ,Bnahabra Suit S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
42,飞虫背心Ｓ,Bnahabra Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,4,0
43,土砂龙铠甲,Barroth Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
44,土砂龙炼甲,Barroth Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
45,雌火龙铠甲,Rathian Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
46,雌火龙炼甲,Rathian Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
47,雌火龙铠甲Ｓ,Rathian Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
48,雌火龙炼甲Ｓ,Rathian Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
49,樱火龙铠甲,Rath Heart Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
50,樱火龙炼甲,Rath Heart Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
51,金火龙铠甲,Golden Lunemail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
52,金火龙炼甲,Golden Lunevest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
53,雌火龙铠甲,Rathian Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
54,雌火龙炼甲,Rathian Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,2,0
55,樱火龙铠甲,Rath Heart Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
56,樱火龙炼甲,Rath Heart Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,6,0
57,EX雌火龙铠甲,EX Rathian Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
58,EX雌火龙炼甲,EX Rathian Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,7,0
59,雄火龙铠甲,Rathalos Mail,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
60,雄火龙炼甲,Rathalos Vest,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,3,0
61,雄火龙铠甲Ｓ,Rathalos Mail S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
62,雄火龙炼甲Ｓ,Rathalos Vest S,mh4g-core-common-game-array+mh4g-dex-build7+mh4edit-mit-save-id,5,0
